[2025-05-10 13:52:57] info: 	z2m: Logging to console, file (filename: log.log)
[2025-05-10 13:52:57] info: 	z2m: Starting Zigbee2MQTT version 2.3.0 (commit #unknown)
[2025-05-10 13:52:57] info: 	z2m: Starting zigbee-herdsman (4.0.0)
[2025-05-10 13:52:58] info: 	zh:zstack:znp: Opening SerialPort with {"path":"/dev/ttyUSB0","baudRate":115200,"rtscts":false,"autoOpen":false}
[2025-05-10 13:52:58] info: 	zh:zstack:znp: Serialport opened
[2025-05-10 13:52:58] info: 	zh:zstack:znp: Writing CC2530/CC2531 skip bootloader payload
[2025-05-10 13:52:59] info: 	zh:zstack:znp: Skip bootloader for CC2652/CC1352
[2025-05-10 13:53:25] info: 	zh:controller: Wrote coordinator backup to '/config/zigbee2mqtt/coordinator_backup.json'
[2025-05-10 13:53:25] info: 	z2m: zigbee-herdsman started (reset)
[2025-05-10 13:53:25] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":1,"majorrel":2,"minorrel":7,"product":1,"revision":20240710,"transportrev":2},"type":"ZStack3x0"}'
[2025-05-10 13:53:25] info: 	z2m: Currently 0 devices are joined.
[2025-05-10 13:53:25] info: 	z2m: Connecting to MQTT server at mqtt://192.168.31.104:1883
[2025-05-10 13:53:25] error: 	z2m: MQTT failed to connect, exiting... (Connection refused: Not authorized)
[2025-05-10 13:53:25] info: 	z2m: Stopping zigbee-herdsman...
[2025-05-10 13:53:35] info: 	zh:controller: Wrote coordinator backup to '/config/zigbee2mqtt/coordinator_backup.json'
[2025-05-10 13:53:35] info: 	zh:zstack:znp: closing
[2025-05-10 13:53:35] info: 	zh:zstack:znp: Port closed
[2025-05-10 13:53:35] info: 	z2m: Stopped zigbee-herdsman
